R0 Q1 R1 P2 Q2 R2 P3 Q3 R3 P4 Q4 R4 P5 Q5 R5 P6 Q6 R6
A-X 0 0
1544.448 1544.540 1544.388 1544.724 1544.571 1544.345 1544.847 1544.619 1544.316 1544.987 1544.681 1544.305 1545.142 1544.760 1544.312 1545.314 1544.855 1544.338
1.579E-2 7.896E-3 7.880E-3 1.578E-3 7.886E-3 6.284E-3 2.251E-3 7.870E-3 5.580E-3 2.617E-3 7.846E-3 5.160E-3 2.839E-3 7.812E-3 4.839E-3 2.975E-3 7.759E-3 4.501E-3
A-X 1 0
1509.748 1509.835 1509.695 1510.011 1509.871 1509.661 1510.134 1509.924 1509.643 1510.275 1509.994 1509.641 1510.432 1510.080 1509.655 1510.606 1510.181 1509.684
2.913E-2 1.457E-2 1.479E-2 2.913E-3 1.479E-2 1.207E-2 4.224E-3 1.508E-2 1.102E-2 5.027E-3 1.542E-2 1.052E-2 5.607E-3 1.577E-2 1.025E-2 6.063E-3 1.610E-2 1.009E-2
A-X 2 0
1477.565 1477.648 1477.513 1477.817 1477.680 1477.477 1477.933 1477.729 1477.456 1478.065 1477.792 1477.452 1478.212 1477.872 1477.463 1478.376 1477.969 1477.492
4.014E-2 2.007E-2 2.007E-2 4.013E-3 2.006E-2 1.606E-2 5.733E-3 2.006E-2 1.434E-2 6.687E-3 2.005E-2 1.338E-2 7.295E-3 2.002E-2 1.277E-2 7.715E-3 1.989E-2 1.235E-2
A-X 3 0
1447.352 1447.433 1447.304 1447.594 1447.465 1447.273 1447.707 1447.514 1447.257 1447.837 1447.579 1447.258 1447.982 1447.661 1447.275 1448.144 1447.758 1447.308
3.460E-2 1.730E-2 1.730E-2 3.459E-3 1.730E-2 1.384E-2 4.942E-3 1.730E-2 1.236E-2 5.765E-3 1.730E-2 1.154E-2 6.289E-3 1.730E-2 1.101E-2 6.652E-3 1.730E-2 1.065E-2
A-X 4 0
1419.044 1419.121 1419.001 1419.277 1419.155 1418.975 1419.389 1419.206 1418.966 1419.517 1419.273 1418.972 1419.663 1419.357 1418.996 1419.824 1419.458 1419.036
2.331E-2 1.162E-2 1.171E-2 2.331E-3 1.163E-2 9.419E-3 3.345E-3 1.166E-2 8.454E-3 3.923E-3 1.171E-2 7.929E-3 4.302E-3 1.178E-2 7.598E-3 4.571E-3 1.184E-2 7.371E-3
A-X 5 0
1392.525 1392.600 1392.484 1392.749 1392.633 1392.459 1392.857 1392.683 1392.453 1392.982 1392.751 1392.463 1393.124 1392.835 1392.489 1393.283 1392.937 1392.533
1.450E-2 7.248E-3 7.249E-3 1.450E-3 7.248E-3 5.799E-3 2.071E-3 7.248E-3 5.178E-3 2.415E-3 7.248E-3 4.833E-3 2.635E-3 7.247E-3 4.613E-3 2.787E-3 7.247E-3 4.461E-3
A-X 6 0
1367.623 1367.696 1367.586 1367.839 1367.730 1367.566 1367.946 1367.782 1367.564 1368.070 1367.852 1367.580 1368.212 1367.940 1367.616 1368.371 1368.047 1367.675
7.945E-3 3.972E-3 3.969E-3 7.944E-4 3.968E-3 3.169E-3 1.134E-3 3.960E-3 2.819E-3 1.320E-3 3.945E-3 2.610E-3 1.435E-3 3.913E-3 2.427E-3 1.505E-3 3.811E-3 1.929E-3
A-X 7 0
1344.186 1344.255 1344.151 1344.394 1344.290 1344.134 1344.498 1344.342 1344.133 1344.621 1344.413 1344.153 1344.759 1344.499 1344.188 1344.917 1344.604 1344.240
4.140E-3 2.070E-3 2.070E-3 4.140E-4 2.070E-3 1.656E-3 5.913E-4 2.070E-3 1.479E-3 6.898E-4 2.070E-3 1.380E-3 7.524E-4 2.070E-3 1.317E-3 7.958E-4 2.069E-3 1.274E-3
A-X 8 0
1322.150 1322.217 1322.119 1322.351 1322.253 1322.105 1322.455 1322.306 1322.108 1322.575 1322.377 1322.130 1322.714 1322.467 1322.169 1322.870 1322.573 1322.227
2.004E-3 1.002E-3 1.002E-3 2.004E-4 1.003E-3 8.024E-4 2.862E-4 1.004E-3 7.164E-4 3.342E-4 1.004E-3 6.687E-4 3.646E-4 1.004E-3 6.389E-4 3.855E-4 1.005E-3 6.178E-4 
A-X 9 0
1301.403 1301.468 1301.374 1301.598 1301.505 1301.364 1301.700 1301.559 1301.370 1301.820 1301.631 1301.396 1301.957 1301.722 1301.438 1302.113 1301.829 1301.500
9.500E-4 4.750E-4 4.750E-4 9.499E-5 4.750E-4 3.800E-4 1.357E-4 4.750E-4 3.393E-4 1.583E-4 4.749E-4 3.167E-4 1.727E-4 4.749E-4 3.023E-4 1.826E-4 4.749E-4 2.923E-4
A-X 10 0
1281.866 1281.929 1281.838 1282.055 1281.964 1281.831 1282.154 1282.020 1281.840 1282.273 1282.093 1281.868 1282.409 1282.184 1281.914 1282.563 1282.294 1281.979
4.096E-4 2.048E-4 2.048E-4 4.095E-5 2.048E-4 1.637E-4 5.850E-5 2.046E-4 1.461E-4 6.818E-5 2.046E-4 1.364E-4 7.437E-5 2.045E-4 1.302E-4 7.865E-5 2.045E-4 1.259E-4
A-X 11 0
1263.433 1263.494 1263.409 1263.617 1263.532 1263.403 1263.716 1263.587 1263.416 1263.833 1263.661 1263.447 1263.968 1263.754 1263.498 1264.123 1263.866 1263.567
1.800E-4 9.000E-5 9.000E-5 1.800E-5 9.000E-5 7.200E-5 2.571E-5 8.999E-5 6.429E-5 2.999E-5 8.999E-5 6.000E-5 3.271E-5 8.998E-5 5.727E-5 3.460E-5 8.997E-5 5.538E-5
A-X 12 0
1246.059 1246.119 1246.036 1246.238 1246.156 1246.033 1246.335 1246.212 1246.049 1246.451 1246.288 1246.084 1246.586 1246.383 1246.137 1246.741 1246.495 1246.209
9.000E-5 4.500E-5 4.500E-5 8.999E-6 4.500E-5 3.600E-5 1.285E-5 4.500E-5 3.214E-5 1.500E-5 4.499E-5 3.000E-5 1.636E-5 4.499E-5 2.864E-5 1.730E-5 4.499E-5 2.769E-5
A-X 13 0
1229.668 1229.726 1229.647 1229.842 1229.764 1229.648 1229.938 1229.822 1229.667 1230.055 1229.899 1229.704 1230.190 1229.995 1229.761 1230.344 1230.110 1229.838
3.469E-5 1.735E-5 1.735E-5 3.469E-6 1.735E-5 1.388E-5 4.955E-6 1.734E-5 1.239E-5 5.780E-6 1.734E-5 1.156E-5 6.305E-6 1.734E-5 1.104E-5 6.668E-6 1.734E-5 1.067E-5
A-X 14 0
1214.227 1214.283 1214.211 1214.397 1214.325 1214.213 1214.495 1214.383 1214.232 1214.610 1214.459 1214.273 1214.743 1214.556 1214.332 1214.896 1214.673 1214.410
1.439E-5 7.195E-6 7.196E-6 1.439E-6 7.195E-6 5.756E-6 2.055E-6 7.195E-6 5.140E-6 2.398E-6 7.194E-6 4.797E-6 2.615E-6 7.194E-6 4.579E-6 2.766E-6 7.193E-6 4.427E-6
A-X 15 0
1199.678 1199.734 1199.665 1199.844 1199.775 1199.671 1199.941 1199.837 1199.694 1200.059 1199.915 1199.742 1200.192 1200.014 1199.814 1200.351 1200.137 1199.876
5.896E-6 2.951E-6 2.945E-6 5.896E-7 2.948E-6 2.351E-6 8.413E-7 2.945E-6 2.085E-6 9.795E-7 2.936E-6 1.898E-6 1.061E-6 2.924E-6 1.343E-6 1.094E-6 2.891E-6 1.692E-6
A-X 16 0
1185.995 1186.049 1185.980 1186.157 1186.088 1185.988 1186.251 1186.151 1186.014 1186.367 1186.230 1186.060 1186.501 1186.330 1186.127 1186.655 1186.452 1186.214
2.462E-6 1.231E-6 1.231E-6 2.462E-7 1.231E-6 9.849E-7 3.517E-7 1.231E-6 8.793E-7 4.102E-7 1.231E-6 8.207E-7 4.475E-7 1.231E-6 7.833E-7 4.732E-7 1.231E-6 7.575E-7
A-X 17 0
1173.159 1173.212 1173.149 1173.317 1173.255 1173.153 1173.413 1173.312 1173.184 1173.524 1173.396 1173.234 1173.661 1173.498 1173.305 1173.816 1173.623 1173.394
1.021E-6 5.103E-7 5.103E-7 1.021E-7 5.103E-7 4.083E-7 1.458E-7 5.103E-7 3.645E-7 1.701E-7 5.102E-7 3.402E-7 1.855E-7 5.102E-7 3.247E-7 1.962E-7 5.101E-7 3.140E-7
A-X 18 0
1161.157 1161.209 1161.147 1161.313 1161.251 1161.160 1161.406 1161.316 1161.171 1161.523 1161.378 1161.233 1161.638 1161.492 1161.309 1161.804 1161.620 1161.405
4.304E-7 2.152E-7 2.152E-7 4.303E-8 2.152E-7 1.722E-7 6.147E-8 2.152E-7 1.537E-7 7.171E-8 2.152E-7 1.435E-7 7.822E-8 2.151E-7 1.369E-7 8.272E-8 2.151E-7 1.324E-7
A-X 19 0
1149.983 1150.034 1149.975 1150.135 1150.077 1149.988 1150.229 1150.141 1150.024 1150.344 1150.227 1150.080 1150.481 1150.334 1150.158 1150.640 1150.463 1150.258
1.835E-7 9.174E-8 9.175E-8 1.835E-8 9.174E-8 7.340E-8 2.621E-8 9.173E-8 6.553E-8 3.057E-8 9.173E-8 6.116E-8 3.335E-8 9.172E-8 5.838E-8 3.527E-8 9.171E-8 5.645E-8
A-X 20 0
1139.694 1139.744 1139.687 1139.843 1139.787 1139.704 1139.937 1139.854 1139.741 1140.053 1139.941 1139.803 1140.191 1140.053 1139.886 1140.353 1140.186 1139.991
8.010E-8 4.005E-8 4.005E-8 8.009E-9 4.005E-8 3.204E-8 1.144E-8 4.005E-8 2.861E-8 1.335E-8 4.004E-8 2.670E-8 1.456E-8 4.004E-8 2.548E-8 1.540E-8 4.004E-8 2.464E-8
A-X 21 0
1130.336 1130.385 1130.335 1130.484 1130.434 1130.355 1130.581 1130.503 1130.398 1130.699 1130.595 1130.465 1130.841 1130.710 1130.553 1131.005 1130.848 1130.666
3.578E-8 1.789E-8 1.789E-8 3.577E-9 1.789E-8 1.431E-8 5.110E-9 1.789E-8 1.278E-8 5.961E-9 1.789E-8 1.192E-8 6.502E-9 1.788E-8 1.138E-8 6.876E-9 1.788E-8 1.101E-8
A-X 22 0
1122.074 1122.122 1122.074 1122.219 1122.171 1122.099 1122.317 1122.245 1122.149 1122.438 1122.342 1122.223 1122.585 1122.465 1122.321 1122.755 1122.612 1122.444
1.625E-8 8.126E-9 8.127E-9 1.625E-9 8.126E-9 6.501E-9 2.321E-9 8.125E-9 5.804E-9 2.708E-9 8.125E-9 5.417E-9 2.954E-9 8.124E-9 5.170E-9 3.124E-9 8.123E-9 4.999E-9
A-X 23 0
1115.104 1115.151 1115.108 1115.247 1115.203 1115.145 1115.347 1115.288 1115.214 1115.480 1115.406 1115.262 1115.645 1115.501 1115.395 1115.788 1115.682 1115.532
7.881E-9 3.940E-9 3.940E-9 0.788E-9 3.940E-9 3.152E-9 1.126E-9 3.940E-9 2.814E-9 1.313E-9 3.939E-9 2.626E-9 1.432E-9 3.939E-9 2.507E-9 1.515E-9 3.938E-9 2.424E-9
