R0 P1 R1 P2 R2 P3 R3 P4 R4 P5 R5 P6 R6
C-X 0 0
1087.868 1087.959 1087.821 1088.004 1087.774 1088.049 1087.727 1088.093 1087.679 1088.136 1087.630 1088.179 1087.581
1.177E-1 3.923E-2 7.847E-2 4.708E-2 7.063E-2 5.044E-2 6.727E-2 5.230E-2 6.540E-2 5.349E-2 6.422E-2 5.431E-2 6.340E-2
C-X 1 0
1063.045 1063.133 1063.001 1063.175 1062.957 1063.218 1062.913 1063.261 1062.870 1063.304 1062.826 1063.347 1062.783
3.560E-3 1.187E-3 2.374E-3 1.424E-3 2.136E-3 1.526E-3 2.035E-3 1.582E-3 1.978E-3 1.618E-3 1.942E-3 1.643E-3 1.917E-3
C-X 2 0
1039.710 1039.792 1039.669 1039.834 1039.628 1039.877 1039.588 1039.919 1039.550 1039.962 1039.510 1040.007 1039.471
1.045E-5 3.483E-6 6.967E-6 4.180E-6 6.271E-6 4.478E-6 5.972E-6 4.644E-6 5.807E-6 4.749E-6 5.701E-6 4.822E-6 5.628E-6
C-X 3 0
1017.830 1017.910 1017.791 1017.950 1017.755 1017.991 1017.719 1018.034 1017.684 1018.078 1017.650 1018.122 1017.617
4.360E-5 1.453E-5 2.907E-5 1.744E-5 2.616E-5 1.868E-5 2.492E-5 1.937E-5 2.423E-5 1.981E-5 2.379E-5 2.012E-5 2.348E-5
