R0 Q1 R1 P2 Q2 R2 P3 Q3 R3 P4 Q4 R4 P5 Q5 R5 P6 Q6 R6
d-X 3 0
1561.234 1561.328 1561.197 1561.515 1561.383 1561.189 1561.666 1561.469 1561.210 1561.845 1561.586 1561.260 1562.054 1561.729 1561.340 1562.292 1561.903 1561.449
6.887E-6 3.443E-6 3.402E-6 6.886E-7 3.402E-6 2.675E-6 9.718E-7 3.343E-6 2.334E-6 1.114E-6 3.266E-6 2.119E-6 1.187E-6 3.177E-6 1.959E-6 1.222E-6 3.077E-6 1.828E-6
d-X 4 0
1535.070 1535.162 1535.038 1535.342 1535.219 1535.034 1535.491 1535.306 1535.058 1535.668 1535.420 1535.110 1535.874 1535.564 1535.194 1536.108 1535.738 1535.306
1.515E-5 7.573E-6 7.559E-6 1.515E-6 7.558E-6 6.031E-6 2.159E-6 7.537E-6 5.369E-6 2.512E-6 7.515E-6 4.998E-6 2.732E-6 7.495E-6 4.762E-6 2.882E-6 7.480E-6 4.603E-6
d-X 5 0 
1510.341 1510.428 1510.305 1510.604 1510.481 1510.298 1510.743 1510.560 1510.316 1510.912 1510.667 1510.364 1511.106 1510.803 1510.442 1511.329 1510.969 1510.548
5.945E-3 2.972E-3 2.747E-3 5.944E-4 2.747E-3 1.955E-3 7.846E-4 2.443E-3 1.499E-3 8.143E-4 2.098E-3 1.164E-3 7.628E-4 1.746E-3 9.005E-4 6.711E-4 1.415E-3 6.914E-4
d-X 7 0
1464.142 1464.222 1464.115 1464.390 1464.281 1464.119 1464.527 1464.366 1464.151 1464.696 1464.481 1464.215 1464.893 1464.625 1464.303 1465.123 1464.796 1464.423
4.020E-6 2.010E-6 2.004E-6 4.019E-7 2.004E-6 1.595E-6 5.724E-7 1.994E-6 1.416E-6 6.644E-7 1.982E-6 1.313E-6 7.204E-7 1.969E-6 1.245E-6 7.572E-7 1.955E-6 1.195E-6
d-X 12 0
1366.439 1366.511 1366.424 1366.655 1366.568 1366.438 1366.783 1366.653 1366.480 1366.940 1366.767 1366.550 1367.126 1366.906 1366.649 1367.340 1367.079 1366.777
7.873E-5 3.928E-5 4.057E-5 7.872E-6 4.025E-5 3.401E-5 1.159E-5 4.145E-5 3.240E-5 1.416E-5 4.085E-5 3.287E-5 1.649E-5 6.447E-5 3.486E-5 1.895E-5 6.378E-5 3.819E-5
