+eQR0 +eSR0 -eQQ1 -eQR1 -eSR1 +eOP2 +eQP2 +eQQ2 +eQR2 +eSR2 -eOP3 -eQP3 -eQQ3 -eQR3 -eSR3 +eOP4 +eQP4 +eQQ4 +eQR4 +eSR4 -eOP5 -eQP5 -eQQ5 -eQR5 -eSR5 +eOP6 +eQP6 +eQQ6 +eQR6 +eSR6
e-X 1 0
1543.163 1542.996 1543.173 1543.196 1542.906 1543.438 1543.270 1543.235 1543.258 1542.849 1543.654 1543.364 1543.329 1543.352 1542.824 1543.900 1543.490 1543.454 1543.474 1542.831 1544.177 1543.648 1543.610 1543.627 1542.868 1544.482 1543.838 1543.797 1543.806 1542.939
2.200E-4 1.677E-4 1.916E-4 1.269E-4 8.133E-5 2.200E-5 1.676E-5 2.010E-4 1.225E-4 6.422E-5 3.626E-5 2.323E-5 2.163E-4 1.389E-4 5.798E-5 5.104E-5 2.675E-5 2.395E-4 1.762E-4 5.590E-5 7.066E-5 2.950E-5 2.740E-4 2.513E-4 5.645E-5 1.016E-4 3.223E-5 3.257E-4 4.169E-4 5.912E-5
e-X 4 0
1471.240 1471.092 1471.258 1471.274 1471.019 1471.490 1471.342 1471.320 1471.338 1470.963 1471.691 1471.435 1471.411 1471.431 1470.963 1471.920 1471.546 1471.539 1471.554 1470.978 1472.181 1471.712 1471.691 1471.711 1471.032 1472.471 1471.893 1471.880 1471.897 1471.116
1.398E-5 1.031E-5 1.213E-5 6.841E-6 5.433E-6 1.398E-6 1.031E-6 1.226E-5 5.537E-6 4.442E-6 1.954E-6 1.552E-6 1.244E-5 5.077E-6 4.029E-6 2.306E-6 1.850E-6 1.270E-5 4.918E-6 3.822E-6 2.583E-6 2.050E-6 1.302E-5 4.915E-6 3.716E-6 2.836E-6 2.204E-6 1.343E-5 5.015E-6 3.674E-6
e-X 5 0
1449.544 1449.401 1449.569 1449.579 1449.328 1449.786 1449.644 1449.630 1449.639 1449.288 1449.984 1449.732 1449.719 1449.735 1449.284 1450.205 1449.853 1449.843 1449.855 1449.307 1450.463 1450.011 1450.002 1450.013 1449.361 1450.745 1450.196 1450.183 1450.194 1449.450
5.587E-5 4.234E-5 4.893E-5 2.429E-5 2.394E-5 5.586E-6 4.233E-6 4.771E-5 1.735E-5 2.013E-5 6.939E-6 6.839E-6 4.580E-5 1.388E-5 1.810E-5 7.227E-6 8.383E-6 4.354E-5 1.168E-5 1.677E-5 7.063E-6 9.208E-6 4.077E-5 9.938E-6 1.557E-5 6.736E-6 9.671E-6 3.799E-5 8.542E-6 1.441E-5
e-X 12 0
1323.052 1322.945 1323.073 1323.082 1322.898 1323.254 1323.147 1323.133 1323.142 1322.883 1323.419 1323.235 1323.222 1323.232 1322.897 1323.613 1323.354 1323.341 1323.351 1322.941 1323.838 1323.502 1323.490 1323.500 1323.014 1324.092 1323.681 1323.668 1323.679 1323.118
8.080E-6 6.060E-6 7.070E-6 3.030E-6 4.040E-6 8.079E-7 6.059E-7 6.060E-6 1.616E-6 3.232E-6 8.655E-7 1.154E-6 6.060E-6 1.443E-6 2.886E-6 6.731E-7 1.346E-6 5.049E-6 1.347E-6 2.693E-6 7.343E-7 1.469E-6 5.049E-6 6.427E-7 1.928E-6 7.765E-7 1.553E-6 4.039E-6 6.215E-7 1.865E-6
