lambda,Aki,fik,Acc,Ei,Ek,Type,
923.878,2.8e+07,2.9e-03,D,0.0000,108239.375,,
926.204,2.6e+08,3.3e-02,E,0.0000,107966.642,,
926.898,3.2e+07,3.3e-03,D,0.0000,107886.868,,
927.172,7.e+07,9.e-03,E,384.7872,108239.375,,
928.110,1.0e+08,9.e-03,E,384.7872,108130.542,,
929.523,3.4e+07,5.e-03,D,384.7872,107966.642,,
929.612,2.8e+07,5.e-03,D,667.6829,108239.375,,
930.023,1.3e+08,1.1e-02,E,667.6829,108191.894,,
930.214,7.e+07,1.0e-02,E,384.7872,107886.868,,
930.554,5.e+07,6.e-03,D,667.6829,108130.542,,
932.244,8.e+07,1.5e-02,E,862.6118,108130.542,,
932.670,3.8e+07,7.e-03,D,667.6829,107886.868,,
932.707,8.e+07,2.1e-02,D,977.0498,108191.894,,
937.651,4.4e+07,7.e-03,E,0.0000,106649.452,,
941.264,7.e+07,1.2e-02,E,384.7872,106624.631,,
945.086,4.1e+07,7.e-03,D,667.6829,106478.067,,
978.366,2.2e+08,3.9e-02,E,7955.3186,110166.534,,
981.370,4.6e+07,7.e-03,D,8391.9554,110290.739,,
984.760,2.4e+07,4.1e-03,D,1872.5998,103420.207,,
989.661,2.1e+07,4.1e-03,D,2837.9807,103882.740,,
989.894,1.0e+08,1.7e-02,D+,1872.5998,102893.426,,
990.004,3.1e+07,4.5e-03,D+,1872.5998,102882.424,,
990.315,1.2e+07,1.8e-03,D,1872.5998,102851.394,,
990.856,5.4e+07,1.0e-02,D+,2430.1369,103352.723,,
991.340,1.1e+07,2.2e-03,D,2837.9807,103711.610,,
991.690,1.8e+07,3.5e-03,D,2837.9807,103676.848,,
994.224,5.9e+07,1.3e-02,D+,3117.4877,103698.515,,
994.348,2.4e+07,3.6e-03,D,2837.9807,103406.327,,
994.552,5.0e+07,1.0e-02,D+,2837.9807,103385.785,,
994.907,1.8e+07,2.6e-03,D,2430.1369,102942.256,,
995.450,1.4e+07,2.0e-03,D,2430.1369,102887.172,,
995.497,2.0e+07,3.7e-03,D,2430.1369,102882.424,,
997.384,2.9e+07,5.e-03,E,7955.3186,108217.596,,
1055.258,4.6e+07,6.1e-03,D+,0.0000,94763.218,,
1059.562,3.2e+07,5.5e-03,D+,384.7872,94763.218,,
1060.437,1.2e+08,1.5e-02,D+,384.7872,94685.083,,
1062.150,1.7e+07,2.9e-03,D,0.0000,94148.39,,
1062.747,3.1e+07,7.0e-03,D+,667.6829,94763.218,,
1063.020,1.2e+08,1.4e-02,D+,667.6829,94739.136,,
1063.170,3.2e+08,5.5e-02,D+,0.0000,94057.727,,
1063.626,1.4e+08,1.2e-02,D+,862.6118,94880.585,,
1063.626,1.6e+07,2.8e-03,D,667.6829,94685.083,,
1063.970,3.5e+07,4.7e-03,D+,0.0000,93987.454,,
1064.922,4.1e+07,7.e-03,D,977.0498,94880.585,,
1065.841,6.7e+07,1.7e-02,D+,862.6118,94685.083,,
1066.528,6.2e+07,2.1e-02,D+,977.0498,94739.136,,
1066.659,1.1e+07,1.4e-03,D,7955.3186,101706.498,,
1067.541,8.e+07,1.8e-02,D+,384.7872,94057.727,,
1068.341,1.6e+08,2.7e-02,D+,384.7872,93987.454,,
1069.017,1.5e+07,2.5e-03,D,667.6829,94211.383,,
