# H2 B ^1\Sigma^+_u - X ^1\Sigma^+_g Lyman Transitions
#
# Catalogue of the most accurate and precise laboratory parameters for fitting molecular hydrogen (H_2) absorptions lines.
# Represented are all allowed Lyman H_2 transitions between the lowest 8 rotational levels in the ground and excited states with excited state vibrational quantum numbers up to v'=19.
#
# The first column provides a short-hand notation for the transition: letters denote a Lyman (L) line and the branch, where P, Q and R represent J' - J = -1, 0 and 1, respectively, for J and J' the ground state and excited state levels, respectively; the first integer is the excited state vibrational quantum number and the second is J.
# The second column gives the most precise reported laboratory wavelength and its 1-sigma uncertainty is given in the third column (both are in Angstroms)
#
# The fourth column provides the reference:
# 1 = Bailly, Salumbides, Vervloet, Ubachs (2009, Mol. Phys. 108, 827–846) for the excited state energy levels;
# with ground states from Komasa et al. (2011, J. Chem. Theory Comput. 7, 10, 3105-3115)
#
# 2 = Ubachs, Buning, Eikema, Reinhold (2007, J. Molecular Spectrosc., 241, 155); (a suffix "a" refers to directly measured wavelengths while "b" refers to wavelengths calculated from directly measured
# lines via combination differences); with ground states from Komasa et al. (2011, J. Chem. Theory Comput. 7, 10, 3105-3115)
#
# 3 = Abgrall, Roueff, Launay, Roncin, Subtil (1993, J. Mol. Spectrosc., 157, 512) for the excited state energy levels;
# with ground states from  Dabrowski (1984, Can. J. Phys. 62, 1639-1664)
#
# Note that wavelengths with reference 3 are much less precise than those from references 1 and 2.
#
# The fifth column gives the oscillator strengths which were calculated from the Einstein A coefficients given by Abgrall, Roueff, Launay, Roncin (1994, Canadian J. Phys., 72, 856).
# The sixth column gives the (natural) damping coefficients in seconds^{-1} which were calculated from the total transition probabilities (A_t) in Abgrall, Roueff, Drira (2000, Astron. Astrophys. Suppl., 141, 297).
#
# The final column gives the sensitivity coefficients calculated in Salumbides, Bagdonaite, Abgrall, Roueff, Ubachs (2015, MNRAS 450, 1237) which have estimated uncertainties of typically <5x10^{-4}.
#
#Trans  lambda_lab  	sig_lambda  	Ref  	f    		Gamma   	K
L0P1	1110.062559	0.000004	1	5.739e-04	1.865e+09	-0.00891
L0P2	1112.495984	0.000004	1	6.914e-04	1.863e+09	-0.01108
L0P3	1115.895528	0.000004	1	7.381e-04	1.858e+09	-0.01409
L0P4	1120.248830	0.000005	1	7.559e-04	1.851e+09	-0.01791
L0P5	1125.540694	0.000006	1	7.577e-04	1.842e+09	-0.02247
L0P6	1131.753511	0.000008	1	7.481e-04	1.830e+09	-0.02775
L0P7	1138.867760	0.000006	1	7.299e-04	1.816e+09	-0.03367
L0R0	1108.127317	0.000004	1	1.665e-03	1.863e+09	-0.00718
L0R1	1108.633244	0.000004	1	1.077e-03	1.858e+09	-0.00765
L0R2	1110.120557	0.000004	1	9.322e-04	1.851e+09	-0.00900
L0R3	1112.583942	0.000005	1	8.468e-04	1.842e+09	-0.01122
L0R4	1116.014608	0.000008	1	7.780e-04	1.830e+09	-0.01427
L0R5	1120.400627	0.000006	1	7.157e-04	1.816e+09	-0.01812
L0R6	1125.727090	0.000007	1	6.563e-04	1.800e+09	-0.02273
L0R7	1131.976648	0.000005	1	5.991e-04	1.781e+09	-0.02804
L1P1	1094.051950	0.000004	1	1.968e-03	1.740e+09	-0.00183
L1P2	1096.438910	0.000006	1	2.367e-03	1.738e+09	-0.00398
L1P3	1099.787176	0.000005	1	2.526e-03	1.734e+09	-0.00699
L1P4	1104.083924	0.000007	1	2.595e-03	1.727e+09	-0.01081
L1P5	1109.313241	0.000005	1	2.616e-03	1.719e+09	-0.01538
L1P6	1115.456473	0.000008	1	2.604e-03	1.709e+09	-0.02067
L1P7	1122.492791	0.000006	1	2.569e-03	1.696e+09	-0.02661
L1R0	1092.195201	0.000005	1	5.783e-03	1.738e+09	-0.00017
L1R1	1092.732383	0.000005	1	3.780e-03	1.734e+09	-0.00068
L1R2	1094.244556	0.000007	1	3.315e-03	1.727e+09	-0.00209
L1R3	1096.725314	0.000005	1	3.056e-03	1.719e+09	-0.00437
L1R4	1100.164519	0.000007	1	2.854e-03	1.709e+09	-0.00748
L1R5	1104.548709	0.000005	1	2.676e-03	1.696e+09	-0.01140
L1R6	1109.861417	0.000008	1	2.506e-03	1.682e+09	-0.01606
L1R7	1116.083653	0.000007	1	2.339e-03	1.665e+09	-0.02142
L2P1	1078.925401	0.000004	1	3.923e-03	1.631e+09	 0.00469
L2P2	1081.265946	0.000005	1	4.700e-03	1.630e+09	 0.00255
L2P3	1084.560255	0.000004	1	5.009e-03	1.626e+09	-0.00044
L2P4	1088.795360	0.000005	1	5.150e-03	1.620e+09	-0.00425
L2P5	1093.954980	0.000004	1	5.207e-03	1.613e+09	-0.00882
L2P6	1100.019980	0.000006	1	5.210e-03	1.603e+09	-0.01411
L2P7	1106.968898	0.000005	1	5.176e-03	1.592e+09	-0.02005
L2R0	1077.138656	0.000005	1	1.167e-02	1.630e+09	 0.00629
L2R1	1077.698852	0.000004	1	7.693e-03	1.626e+09	 0.00574
L2R2	1079.225421	0.000005	1	6.818e-03	1.620e+09	 0.00429
L2R3	1081.711272	0.000004	1	6.362e-03	1.613e+09	 0.00197
L2R4	1085.145517	0.000005	1	6.031e-03	1.603e+09	-0.00119
L2R5	1089.513851	0.000005	1	5.739e-03	1.592e+09	-0.00515
L2R6	1094.798890	0.000009	1	5.463e-03	1.579e+09	-0.00985
L2R7	1100.980767	0.000005	1	5.190e-03	1.565e+09	-0.01524
L3P1	1064.605319	0.000005	1	5.941e-03	1.535e+09	 0.01069
L3P2	1066.900629	0.000005	1	7.090e-03	1.534e+09	 0.00857
L3P3	1070.140816	0.000004	1	7.538e-03	1.531e+09	 0.00560
L3P4	1074.312890	0.000005	1	7.743e-03	1.525e+09	 0.00180
L3P5	1079.400454	0.000004	1	7.834e-03	1.518e+09	-0.00276
L3P6	1085.384168	0.000007	1	7.860e-03	1.510e+09	-0.00804
L3P7	1092.242221	0.000006	1	7.843e-03	1.500e+09	-0.01397
L3R0	1062.882074	0.000005	1	1.789e-02	1.534e+09	 0.01224
L3R1	1063.460087	0.000004	1	1.190e-02	1.531e+09	 0.01165
L3R2	1064.994755	0.000005	1	1.065e-02	1.525e+09	 0.01017
L3R3	1067.478596	0.000004	1	1.004e-02	1.518e+09	 0.00782
L3R4	1070.900277	0.000007	1	9.626e-03	1.510e+09	 0.00463
L3R5	1075.244950	0.000006	1	9.281e-03	1.500e+09	 0.00064
L3R6	1080.494754	0.000047	1	8.954e-03	1.488e+09	-0.00409
L3R7	1086.629417	0.000036	1	8.631e-03	1.475e+09	-0.00951
L4P1	1051.032452	0.000006	1	7.601e-03	1.450e+09	 0.01620
L4P2	1053.284206	0.000005	1	9.022e-03	1.448e+09	 0.01410
L4P3	1056.471371	0.000004	1	9.556e-03	1.445e+09	 0.01115
L4P4	1060.580962	0.000005	1	9.793e-03	1.440e+09	 0.00737
L4P5	1065.596573	0.000004	1	9.900e-03	1.434e+09	 0.00281
L4P6	1071.498782	0.000008	1	9.938e-03	1.426e+09	-0.00245
L4P7	1078.265772	0.000006	1	9.941e-03	1.417e+09	-0.00837
L4R0	1049.367383	0.000005	1	2.319e-02	1.448e+09	 0.01770
L4R1	1049.959704	0.000004	1	1.555e-02	1.445e+09	 0.01709
L4R2	1051.498508	0.000005	1	1.403e-02	1.440e+09	 0.01558
L4R3	1053.976049	0.000004	1	1.336e-02	1.434e+09	 0.01320
L4R4	1057.380697	0.000008	1	1.294e-02	1.426e+09	 0.00998
L4R5	1061.697417	0.000006	1	1.261e-02	1.417e+09	 0.00597
L4R6	1066.907947	0.000046	1	1.230e-02	1.407e+09	 0.00121
L4R7	1072.992113	0.001151	3	1.200e-02	1.395e+09	-0.00422
L5P1	1038.157045	0.000005	1	8.660e-03	1.372e+09	 0.02125
L5P2	1040.367198	0.000004	1	1.022e-02	1.371e+09	 0.01918
L5P3	1043.503088	0.000004	1	1.077e-02	1.368e+09	 0.01623
L5P4	1047.551777	0.000004	1	1.099e-02	1.364e+09	 0.01247
L5P5	1052.496922	0.000004	1	1.108e-02	1.358e+09	 0.00793
