# HD Lyman (B-X) and Werner (C-X) Transitions
#
# Catalogue of the most accurate and precise laboratory parameters for fitting deuterium hydride (HD) absorptions lines.
# Represented are all allowed Lyman and Werner HD transitions between the lowest 2 rotational levels in the ground and excited states with excited state vibrational quantum numbers up to 21 for Lyman transitions and up to 5 for Werner transitions, respectively.
#
# The first column provides a short-hand notation for the transition: letters denote a Lyman (L) or a Werner (W) line and the branch, where P, Q and R represent J' - J = -1, 0 and 1, respectively, for J and J' the ground state and excited state levels, respectively; the first integer is the excited state vibrational quantum number and the second is J.
# The second column gives the most precise reported laboratory wavelength and its 1-sigma uncertainty is given in the third column (both are in Angstroms)
#
# The fourth column provides the reference:
# 1 = Ivanov, T. I., Roudjane, M., Vieitez, M. O., de Lange, C. A., Tchang-Brillet,W.-Ü. L. & Ubachs, W. 2008 Phys. Rev. Lett. 100, 093007.
# 2 = Hinnen, P. C., Werners, S. E., Stolte, S., Hogervorst, W. & Ubachs, W. 1995 Phys. Rev. A 52, 4425.
# 3 = Ivanov, T. I., Dickenson, G. D., Roudjane, M., de Oliveira, N., Joyeux, D., Nahon, L. Tchang-Brillet, W.-Ü. L. & Ubachs, W. 2010 Mol. Phys. 108, 771.
#
# The fifth column gives the oscillator strengths which were calculated from the Einstein A coefficients given by Abgrall, H., & Roueff, E. 2006 A&A, 445, 361.
#
# The sixth column gives the (natural) damping coefficients in seconds^{-1} which were calculated from the total transition probabilities (A_t) also from Abgrall, H., & Roueff, E. 2006 A&A, 445, 361.
#
# The final column gives the sensitivity coefficients calculated in Ref. [3] Ivanov(2010), which have estimated uncertainties of typically <5x10^{-4}.
#
#Trans  lambda_lab  	sig_lambda  	Ref  	f    		Gamma   	K
L0P1	1107.292450	0.000050	1	2.559e-04	1.880e+09	-0.00790
L0R0	1105.840550	0.000050	1	7.436e-04	1.870e+09	-0.00654
L0R1	1106.216890	0.000050	1	4.819e-04	1.870e+09	-0.00695
L1P1	1093.401550	0.000050	1	1.011e-03	1.760e+09	 0.00173
L1R0	1092.001260	0.000050	1	2.967e-03	1.760e+09	-0.00038
L1R1	1092.398750	0.000050	1	1.938e-03	1.760e+09	-0.00084
L2P1	1080.184936	0.000400	3	2.280e-03	1.670e+09	 0.00407
L2R0	1078.831040	0.000050	1	6.747e-03	1.670e+09	 0.00528
L2R1	1079.244590	0.000050	1	4.438e-03	1.660e+09	 0.00483
L3P1	1067.586910	0.000050	1	3.851e-03	1.580e+09	 0.00940
L3R0	1066.275680	0.000050	1	1.150e-02	1.580e+09	 0.01061
L3R1	1066.701800	0.000050	1	7.614e-03	1.580e+09	 0.01014
L4P1	1055.565440	0.000050	1	5.429e-03	1.500e+09	 0.01435
L4R0	1054.293540	0.000050	1	1.636e-02	1.500e+09	 0.01557
L4R1	1054.729936	0.000400	3	1.089e-02	1.500e+09	 0.01505
L5P1	1044.085450	0.000050	1	6.755e-03	1.430e+09	 0.01898
L5R0	1042.850050	0.000050	1	2.055e-02	1.430e+09	 0.02013
L5R1	1043.295020	0.000050	1	1.376e-02	1.430e+09	 0.01959
L6P1	1033.116240	0.000050	1	7.675e-03	1.360e+09	 0.02325
L6R0	1031.914930	0.000050	1	2.359e-02	1.360e+09	 0.02439
L6R1	1032.367210	0.000050	1	1.589e-02	1.360e+09	 0.02389
L7P1	1022.629760	0.000050	1	8.142e-03	1.300e+09	 0.02722
L7R0	1021.460450	0.000050	1	2.535e-02	1.300e+09	 0.02831
L7R1	1021.918990	0.000050	1	1.719e-02	1.300e+09	 0.02778
L8P1	1012.600790	0.000050	1	8.188e-03	1.250e+09	 0.03087
L8R0	1011.461800	0.000050	1	2.618e-02	1.250e+09	 0.03193
L8R1	1011.926110	0.000050	1	1.791e-02	1.250e+09	 0.03138
L9P1	1003.005440	0.000050	1	7.898e-03	1.190e+09	 0.03425
L9R0	1001.894130	0.000050	1	2.472e-02	1.190e+09	 0.03530
L9R1	1002.362200	0.000050	1	1.679e-02	1.190e+09	 0.03472
L10P1	993.821017	0.000400	3	7.364e-03	1.150e+09	 0.03734
L10R0	992.736741	0.000390	3	2.409e-02	1.140e+09	 0.03836
L10R1	993.210414	0.000390	3	1.666e-02	1.140e+09	 0.03779
L11P1	985.044173	0.000390	3	6.691e-03	1.100e+09	 0.04018
L11R0	984.015650	0.000390	3	2.040e-02	1.100e+09	 0.04119
L11R1	984.435969	0.000390	3	1.356e-02	1.100e+09	 0.04055
L12P1	976.611426	0.000290	2	5.943e-03	1.060e+09	 0.04261
L12R0	975.575873	0.000290	2	1.957e-02	1.060e+09	 0.04376
L12R1	976.056647	0.000290	2	1.359e-02	1.060e+09	 0.04316
L13P1	968.541857	0.000190	2	5.189e-03	1.020e+09	 0.04512
L13R0	967.525584	0.000280	2	1.396e-02	1.020e+09	 0.04606
L13R1	967.998268	0.000280	2	7.780e-03	1.020e+09	 0.04519
L14P1	960.811017	0.000280	2	4.471e-03	9.800e+08	 0.04725
L14R0	959.819185	0.000280	2	1.465e-02	9.800e+08	 0.04821
L14R1	960.304747	0.000280	2	1.015e-02	9.780e+08	 0.04762
L15P1	953.399455	0.000360	3	3.810e-03	9.440e+08	 0.04919
L15R0	952.453067	0.000360	3	3.434e-02	9.660e+08	 0.04653
L15R1	952.939102	0.000360	3	1.528e-02	9.510e+08	 0.04828
L16P1	946.296630	0.000050	1	3.218e-03	9.110e+08	 0.05095
L16R0	945.343290	0.000050	1	1.037e-02	9.120e+08	 0.05186
L16R1	945.831580	0.000050	1	7.135e-03	9.120e+08	 0.05128
L17P1	939.493694	0.000260	2	2.700e-03	8.800e+08	 0.05252
L17R0	938.560427	0.000350	2	1.068e-02	8.810e+08	 0.05333
L17R1	939.054340	0.000260	2	7.597e-03	8.800e+08	 0.05269
L18P1	932.945651	0.000260	2	2.254e-03	8.500e+08	 0.05389
L18R0	932.027166	0.000260	2	7.060e-03	8.510e+08	 0.05477
L18R1	932.517791	0.000260	2	4.778e-03	8.520e+08	 0.05416
L19P1	926.677822	0.000260	2	1.874e-03	8.230e+08	 0.05510
L19R0	925.778230	0.000260	2	6.796e-03	8.240e+08	 0.05596
L19R1	926.274480	0.000260	2	4.836e-03	8.230e+08	 0.05529
L20P1	920.665516	0.000340	3	1.554e-03	7.970e+08	 0.05611
L20R0	919.778400	0.000340	3	4.627e-03	7.980e+08	 0.05698
L20R1	920.269337	0.000340	3	3.020e-03	7.990e+08	 0.05634
L21P1	914.896342	0.000330	3	1.287e-03	7.720e+08	 0.05700
L21R0	914.021306	0.000330	3	4.467e-03	7.730e+08	 0.05786
