T0s file contains Atomic hydrogen line series.
--------------------------------------------------------------------
l_l  u_l    lambda      f         gamma  
0     1     1215.6701  0.416400  6.265E8
0     2     1025.7223  0.079120  1.897E8
0     3     972.5368   0.029000  8.127E7
0     4     949.7431   0.013940  4.204E7
0     5     937.8035   0.007799  2.450E7
0     6     930.7483   0.004814  1.236E7 
0     7     926.2257   0.003183  8.255E6
0     8     923.1504   0.002216  5.785E6
0     9     920.9631   0.001605  4.210E6
0     10    919.3514   0.00120   3.160E6
0     11    918.1294   0.000921  2.432E6
0     12    917.1806   7.226e-4  1.911E6
0     13    916.429    0.000577  1.529E6
0     14    915.824    0.000469  1.243E6
0     15    915.329    0.000386  1.024E6
0     16    914.919    0.000321  8.533E5
0     17    914.576    0.000270  7.186E5
0     18    914.286    0.000230  6.109E5
0     19    914.039    0.000197  5.237E5
0     20    913.826    0.000170  4.523E5
0     21    913.641    0.000148  3.933E5
0     22    913.480    0.000129  3.443E5
0     23    913.339    0.000114  3.030E5
0     24    913.215    0.000101  2.679E5
0     25    913.104    0.000089  2.382E5
0     26    913.006    0.000080  2.127E5
0     27    912.918    0.000071  1.907E5
0     28    912.839    0.000064  1.716E5
0     29    912.768    0.000058  1.550E5
0     30    912.703    0.000053  1.405E5
0     31    912.645    0.000048  1.277E5
