-----------------------------------------------------
level LW  band  PorR  lambda      f         gamma     sensivity    comment
  0   L   0     R   1105.84055  0.00082   1.870E9   -0.00654
  0   L   1     R   1092.00126  0.00311   1.000E9   -0.00038
  0   L   2     R   1078.83104  0.0068    1.000E9   0.00528
  0   L   3     R   1066.27568  0.0114    1.000E9   0.01061
  0   L   4     R   1054.29354  0.0161    1.500E9   0.01557
  0   L   5     R   1042.85005  0.0201    1.430E9   0.02013
  0   L   6     R   1031.91493  0.02283   1.000E9   0.02439
  0   L   7     R   1021.46045  0.02424   1.000E9   0.02831
  0   L   8     R   1011.46180  0.02439   1.000E9   0.03193
  0   L   9     R   1001.89415  0.02353   1.000E9   0.0353
  0   L   10    R   992.73674   0.02197   1.000E9   0.03836     ! Ubach
  0   L   11    R   984.01565   0.01996   1.000E9   0.04119     ! Ubach
  0   L   12    R   975.57616   0.01775   1.000E9   0.04376     ! Ubach
  0   L   13    R   967.52671   0.01552   1.000E9   0.04606     ! Ubach
  0   L   14    R   959.82057   0.01338   1.000E9   0.04821     ! Ubach
  0   L   15    R   952.45307   0.03434   1.000E9   0.04653     ! Ubach + Abgrall check!!!
  0   L   16    R   945.34329   0.01037   1.000E9   0.05186     ! Ivanov + Abgrall
  0   L   17    R   938.56078   0.01068   1.000E9   0.05333     ! Ivanov + Abgrall
  0   L   18    R   932.02760   0.00706   1.000E9   0.05477     ! Ivanov + Abgrall
  0   L   19    R   925.77917   0.0068    1.000E9   0.05596     ! Ivanov + Abgrall
  0   L   20    R   919.77840   0.00463   1.000E9   0.05698     ! Ivanov + Abgrall
  0   L   21    R   914.02131   0.00447   1.000E9   0.05786     ! Ivanov + Abgrall
  0   W   0     R   1007.2902   0.0325    1.000E9   -0.00391    ! Ivanov
  0   W   1     R   987.26877   0.0589    1.000E9   0.00562     ! Ubach
  0   W   2     R   968.97403   0.0657    1.000E9   0.01381     ! Ubach
  0   W   3     R   952.21363   0.03266   1.000E9   0.02434     ! Ubach + Abgrall
  0   W   4     R   936.92956   0.04019   1.000E9   0.02667     ! Ivanov + Abgrall
  0   W   5     R   922.93621   0.02960   1.000E9   0.03148     ! Ivanov + Abgrall
  1   L   0     R   1106.21689  0.00028   1.000E9   -0.00695    ! f Abgrall
  1   L   0     P   1107.29245  0.000256  1.000E9   -0.0079     ! f Abgrall
  1   L   1     R   1092.39875  0.00194   1.000E9   -8.4E-4     ! f Abgrall
  1   L   1     P   1093.40155  0.00101   1.000E9   -0.00173    ! f Abgrall
  1   L   2     R   1079.24459  0.00444   1.000E9   0.00483     ! f Abgrall
  1   L   2     P   1080.189    0.00228   1.000E9   0.00407     ! f Abgrall
  1   L   3     R   1066.7018   0.00761   1.000E9   0.01014     ! f Abgrall
  1   L   3     P   1067.58691  0.00385   1.000E9   0.0094      ! f Abgrall
  1   L   4     R   1054.7341   0.01089   1.000E9   0.01505     ! f Abgrall
  1   L   4     P   1055.56544  0.00543   1.000E9   0.01435     ! f Abgrall
  1   L   5     R   1043.29502  0.01376   1.000E9   0.01959     ! f Abgrall
  1   L   5     P   1044.08545  0.00675   1.000E9   0.01898     ! f Abgrall
  1   L   6     R   1032.36721  0.01589   1.000E9   0.02389     ! Warning -check
  1   L   6     P   1033.11624  0.00767   1.000E9   0.02325     ! Warning -check 
  1   L   7     R   1021.91899  0.01719   1.000E9   0.02778     ! f Abgrall
  1   L   7     P   1022.62976  0.00814   1.000E9   0.02722     ! f Abgrall
  1   L   8     R   1011.92611  0.01791   1.000E9   0.03138     ! f Abgrall
  1   L   8     P   1012.60079  0.00819   1.000E9   0.03087     ! f Abgrall
  1   L   9     R   1002.36220  0.01679   1.000E9   0.03472     ! f Abgrall
  1   L   9     P   1003.00544  0.0079    1.000E9   0.03425     ! f Abgrall
  1   L   10    R   993.21041   0.01666   1.000E9   0.03779     ! f Abgrall
  1   L   10    P   993.82102   0.00736   1.000E9   0.03734     ! f Abgrall
  1   L   11    R   984.43597   0.01355   1.000E9   0.04055     ! f Abgrall
  1   L   11    P   985.04417   0.00669   1.000E9   0.04018     ! f Abgrall
  1   L   12    R   976.05712   0.01359   1.000E9   0.04316     ! f Abgrall
  1   L   12    P   976.61104   0.00594   1.000E9   0.04261     ! f Abgrall
  1   L   13    R   967.99939   0.00778   1.000E9   0.04519     ! f Abgrall
  1   L   13    P   968.54336   0.00519   1.000E9   0.04512     ! f Abgrall
  1   L   14    R   960.30558   0.01015   1.000E9   0.04762     ! f Abgrall
  1   L   14    P   960.81185   0.00447   1.000E9   0.04725     ! f Abgrall
  1   L   15    R   952.93910   0.01527   1.000E9   0.04828     ! f Abgrall
  1   L   15    P   953.39946   0.00381   1.000E9   0.04919     ! f Abgrall
  1   L   16    R   945.83156   0.00713   1.000E9   0.05128     ! f Abgrall
  1   L   16    P   946.29645   0.00322   1.000E9   0.05095     ! f Abgrall
  1   L   17    R   939.05416   0.0076    1.000E9   0.05269     ! f Abgrall
  1   L   17    P   939.49369   0.0027    1.000E9   0.05252     ! f Abgrall
