nu,a,elower,gp,gpp,statep,statepp,nu-err,nu-ref
2.008237,6.68e-11,484.061,152,152,ElecStateLabel=X;v12=1;J=9;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=9;K=6;rovibSym=E1,5,569
2.008742,2.988e-11,469.587,136,136,ElecStateLabel=X;v12=1;J=8;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=8;K=6;rovibSym=E1,5,569
2.012054,9.725e-11,500.139,168,168,ElecStateLabel=X;v12=1;J=10;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=10;K=6;rovibSym=E1,5,569
2.019111,1.267e-06,8.717,24,40,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=1;K=0;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=2;K=1;rovibSym=E2,5,569
2.021537,1.126e-10,517.821,184,184,ElecStateLabel=X;v12=1;J=11;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=11;K=6;rovibSym=E1,5,569
2.02443,3.223e-07,286.039,248,264,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=5;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=4;rovibSym=E1,5,569
2.038095,9.55e-11,537.106,200,200,ElecStateLabel=X;v12=1;J=12;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=12;K=6;rovibSym=E1,5,569
2.040151,1.774e-11,914.182,360,360,ElecStateLabel=X;v12=1;J=22;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=22;K=12;rovibSym=E1,5,569
2.053359,1.829e-07,590.876,312,328,ElecStateLabel=X;v12=1;J=19;K=1;rovibSym=E2,ElecStateLabel=X;v12=1;J=20;K=2;rovibSym=E2,5,569
2.063159,6.116e-11,557.991,216,216,ElecStateLabel=X;v12=1;J=13;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=13;K=6;rovibSym=E1,5,569
2.077429,6.244e-15,422.271,216,232,ElecStateLabel=X;v12=1;J=13;K=2;rovibSym=E1,ElecStateLabel=X;v12=1;J=14;K=2;rovibSym=E2,5,569
2.091966,1.334e-11,878.816,344,344,ElecStateLabel=X;v12=1;J=21;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=21;K=12;rovibSym=E1,5,569
2.098124,1.996e-11,580.476,232,232,ElecStateLabel=X;v12=1;J=14;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=14;K=6;rovibSym=E1,5,569
2.098351,4.532e-07,132.71,200,184,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=1;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=2;rovibSym=A+,5,569
2.105471,1.138e-08,235.019,248,264,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=2;rovibSym=E1,5,569
2.121122,5.278e-11,59.809,136,120,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=1;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=1;rovibSym=E1,5,569
2.143207,1.505e-11,845.05,328,328,ElecStateLabel=X;v12=1;J=20;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=20;K=12;rovibSym=E1,5,569
2.152775,4.894e-07,619.52,424,408,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=26;K=4;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=25;K=5;rovibSym=A-,5,569
2.165159,1.536e-08,134.809,200,200,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=1;rovibSym=A+,5,569
2.172133,5.025e-07,619.52,424,408,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=26;K=4;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=25;K=5;rovibSym=A+,5,569
2.19362,8.483e-12,812.886,312,312,ElecStateLabel=X;v12=1;J=19;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=12;rovibSym=E1,5,569
2.202827,3.046e-11,630.241,264,264,ElecStateLabel=X;v12=1;J=16;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=16;K=6;rovibSym=E1,5,569
2.219105,4.296e-07,704.285,392,408,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=24;K=8;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=25;K=7;rovibSym=E2,5,569
2.233145,5.637e-07,82.068,136,152,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=2;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=9;K=1;rovibSym=A+,5,569
2.234687,4.661e-11,76.102,120,136,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=3;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=2;rovibSym=E2,5,569
2.242967,9.556e-12,782.325,296,296,ElecStateLabel=X;v12=1;J=18;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=12;rovibSym=E1,5,569
2.252991,5.552e-07,262.916,280,264,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=3;rovibSym=E2,5,569
2.269319,5.836e-07,439.102,360,344,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=22;K=3;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=21;K=4;rovibSym=E1,5,569
2.274683,1.581e-10,657.519,280,280,ElecStateLabel=X;v12=1;J=17;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=17;K=6;rovibSym=E1,5,569
2.278431,5.651e-07,13.963,24,40,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=1;K=1;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=2;K=0;rovibSym=E1,5,569
2.284989,7.601e-07,597.708,296,312,ElecStateLabel=X;v12=1;J=18;K=6;rovibSym=A-,ElecStateLabel=X;v12=1;J=19;K=5;rovibSym=A-,5,569
2.284989,7.601e-07,597.708,296,312,ElecStateLabel=X;v12=1;J=18;K=6;rovibSym=A+,ElecStateLabel=X;v12=1;J=19;K=5;rovibSym=A+,5,569
2.286739,4.388e-07,341.235,264,280,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=6;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=5;rovibSym=E1,5,569
2.291022,1.077e-11,753.368,280,280,ElecStateLabel=X;v12=1;J=17;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=12;rovibSym=E1,5,569
