obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
945.18746	3.8e+08	1.5e-01	C+	0.0000000	105799.119		
1107.941	3.4e+06	1.9e-03	E	0.0000000	90259.12		
1109.043	6.e+06	3.2e-03	E	0.0000000	90168.01		
1110.410	5.e+06	2.9e-03	E	0.0000000	90054.38		
1112.265	6.e+06	3.5e-03	E	0.0000000	89906.5		
1114.631	8.e+06	5.e-03	E	0.0000000	89716.33		
1117.874	1.1e+07	6.e-03	E	0.0000000	89456.15		
1121.487	1.5e+06	8.4e-04	C+	0.0000000	89170.01		
1121.487	1.7e+06	9.8e-04	C+	0.0000000	89164.74		
1121.70	4.0e+05	2.2e-04	C	0.0000000	89149.35		
1122.443	9.0e+06	5.1e-03	C+	0.0000000	89091.25		
1122.506	2.0e+06	1.15e-03	C+	0.0000000	89085.39		
1128.067	2.4e+06	1.36e-03	C+	0.0000000	88646.9		
1128.501	6.0e+05	3.4e-04	C	0.0000000	88615.02		
1129.180	1.35e+07	7.7e-03	B	0.0000000	88558.62		
1129.310	3.5e+06	2.0e-03	C+	0.0000000	88549.095		
1138.382	4.1e+06	2.4e-03	C+	0.0000000	87843.93		
1139.086	9.3e+05	5.4e-04	C	0.0000000	87789.646		
1139.792	2.11e+07	1.23e-02	B	0.0000000	87735.33		
1140.011	6.1e+06	3.6e-03	C+	0.0000000	87718.583		
1155.805	8.2e+06	4.9e-03	C+	0.0000000	86519.506		
1156.186	1.35e+06	8.1e-04	C+	0.0000000	86491.441		
1157.167	1.5e+06	8.7e-04	C+	0.0000000	86416.575		
1157.909	3.52e+07	2.12e-02	B+	0.0000000	86362.54		
1158.332	1.09e+07	6.6e-03	B	0.0000000	86331.651		
1188.835	1.95e+07	1.24e-02	B	0.0000000	84116.1152		
1190.020	9.1e+05	5.8e-04	C+	0.0000000	84032.1471		
1192.218	2.2e+06	1.4e-03	C	0.0000000	83877.305		
1193.020	6.4e+07	4.1e-02	B+	0.0000000	83820.1576		
1194.028	1.94e+07	1.24e-02	A	0.0000000	83752.4388		
1260.736	5.5e+07	3.9e-02	B	0.0000000	79318.8093		
1270.146	4.5e+05	3.3e-04	B	0.0000000	78731.2956		
1276.485	5.0e+06	3.7e-03	C+	0.0000000	78340.29782		
1277.250	1.26e+08	9.2e-02	A	0.0000000	78293.51263		
1280.134	3.55e+07	2.62e-02	B+	0.0000000	78116.77336		
1328.8332	7.3e+07	5.8e-02	B	0.0000000	75254.0017		
1560.30827	6.54e+07	7.16e-02	A	0.0000000	64089.8990		
1613.375	3.6e+04	4.3e-05	B	0.0000000	61981.83211		
1656.92821	1.16e+08	1.43e-01	A	0.0000000	60352.6584		
6091353.36	7.93e-08		A	0.0000000	16.4167130	M1	
