obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
1542.1760	2.2e+07	2.4e-02	C+	21648.030	86491.441		
1600.818	3.6e+05	4.1e-04	C	21648.030	84116.1152		
1602.9709	4.5e+07	5.2e-02	B	21648.030	84032.1471		
1606.962	5.3e+06	6.2e-03	C	21648.030	83877.305		
1608.447	1.7e+06	2.0e-03	C	21648.030	83820.1576		
1751.8271	8.4e+07	1.16e-01	B+	21648.030	78731.2956		
1763.906	2.4e+06	3.4e-03	C	21648.030	78340.29782		
1765.373	8.e+05	1.1e-03	D	21648.030	78293.51263		
2479.3098	2.8e+07	7.7e-02	C+	21648.030	61981.83211		
2583.6740	5.8e+03	1.7e-05	C+	21648.030	60352.6584		
4622.8639	2.3e-03	2.5e-12	C+	16.4167130	21648.030
4628.6398	2.2e-05	1.4e-14	C	43.4134567	21648.030
8729.523	6.0e-01	1.4e-09	B	10192.657	21648.030
