obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
923.878	2.8e+07	2.9e-03	D	0.0000	108239.375		
926.204	2.6e+08	3.3e-02	E	0.0000	107966.642		
926.898	3.2e+07	3.3e-03	D	0.0000	107886.868		
937.651	4.4e+07	7.e-03	E	0.0000	106649.452		
1055.258	4.6e+07	6.1e-03	D+	0.0000	94763.218		
1062.150	1.7e+07	2.9e-03	D	0.0000	94148.39		
1063.170	3.2e+08	5.5e-02	D+	0.0000	94057.727		
1063.970	3.5e+07	4.7e-03	D+	0.0000	93987.454		
1081.872	6.0e+07	1.3e-02	D+	0.0000	92432.098		
1083.420	1.6e+07	2.8e-03	D	0.0000	92300.269		
1096.871	2.3e+08	3.3e-02	D+	0.0000	91167.936		
1112.046	2.0e+07	4.5e-03	D+	0.0000	89924.150		
1121.967	1.9e+08	2.9e-02	D+	0.0000	89128.569		
1125.442	1.0e+08	1.6e-02	D+	0.0000	88853.535		
1127.099	6.e+06	1.1e-03	D	0.0000	88723.398		
1133.662	3.1e+07	4.7e-03	D+	0.0000	88209.461		
1142.361	2.6e+07	4.0e-03	D+	0.0000	87537.646		
1143.220	1.0e+08	1.9e-02	D+	0.0000	87471.789		
1144.926	3.5e+08	8.3e-02	B	0.0000	87340.882		
1260.525	1.1e+08	2.0e-02	D+	0.0000	79331.361		
1588.687	5.e+05	1.5e-04	E	0.0000	62945.045		
1608.45078	1.91e+08	5.91e-02	A	0.0000	62171.624		
1611.197	4.4e+06	1.4e-03	C	0.0000	62065.528		
2249.87517	3.00e+06	1.82e-03	B	0.0000	44446.9051		
2260.77905	3.18e+06	2.44e-03	B	0.0000	44232.5398		
2344.21273	1.73e+08	1.140e-01	A+	0.0000	42658.2444		
2374.46008	4.25e+07	3.59e-02	B+	0.0000	42114.8380		
2382.76390	3.13e+08	3.20e-01	B+	0.0000	41968.0698		
2586.64935	8.94e+07	7.17e-02	B+	0.0000	38660.0537		
2600.17210	2.35e+08	2.39e-01	B+	0.0000	38458.9934		
