obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
2677.931	4.4174e+05	1.5831e-04	AAA	[159855.9743297]	[197198.3399816]		
2677.931	4.4174e+05	4.7492e-04	AAA	[159855.9743297]	[197198.3332683]		
2677.931	4.4174e+05	7.9153e-04	AAA	[159855.9743297]	[197198.3327222]		
2696.919	6.0234e+05	2.1893e-04	AAA	[159855.9743297]	[196935.3414081]		
2696.919	6.0234e+05	6.5680e-04	AAA	[159855.9743297]	[196935.3321700]		
2696.919	6.0234e+05	1.0947e-03	AAA	[159855.9743297]	[196935.3314182]		
2723.998	8.4996e+05	3.1517e-04	AAA	[159855.9743297]	[196566.7261046]		
2723.998	8.4996e+05	9.4552e-04	AAA	[159855.9743297]	[196566.7128971]		
2723.998	8.4996e+05	1.5759e-03	AAA	[159855.9743297]	[196566.7118220]		
2945.967	3.2006e+06	1.3881e-03	AAA	[159855.9743297]	[193800.767563]		
2945.967	3.2006e+06	4.1643e-03	AAA	[159855.9743297]	[193800.712118]		
2945.967	3.2006e+06	6.9405e-03	AAA	[159855.9743297]	[193800.707595]		
3188.667	5.6361e+06	8.5912e-03	AAA	[159855.9743297]	[191217.049963]		
3188.667	5.6361e+06	1.4319e-02	AAA	[159855.9743297]	[191217.040967]		
3889.750	9.4746e+06	2.1491e-02	AAA	[159855.9743297]	[185564.583895]		
3889.750	9.4746e+06	3.5819e-02	AAA	[159855.9743297]	[185564.561920]		
