obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
953.04	3.e+08	4.e-02	E	14325.866	119252.80		
972.55	2.e+08	4.e-02	E	14325.866	117148.4		
1003.00	2.e+08	5.e-02	E	14325.866	114026.99		
1062.51	3.e+08	6.e-02	E	14325.866	108443.15		
1188.502	3.7e+08	1.0e-01	D	14325.866	98465.345		
1464.572	1.e+08	5.e-02	E	14325.866	82605.33		
1733.55	1.7e+08	8.e-02	D	14325.866	72011.05		
1853.272	1.8e+08	7.e-02	D	14325.866	68284.664		
1887.87	2.0e+05	1.1e-04	D	14325.866	67295.446		
1898.12	1.7e+06	7.1e-04	C+	14325.866	67009.217		
1909.830	4.2e+06	1.79e-03	B	14325.866	66686.739		
1911.41	7.9e+07	4.3e-02	C+	14325.866	66643.296		
1915.10	1.17e+08	7.9e-02	B	14325.866	66542.539		
3442.971	3.62e+07	5.00e-02	A	14325.866	43370.537		
4129.287	7.1e+04	1.4e-04	D+	14325.866	38543.122		
