Alex Ignácio da Silva	ignacioalex@yahoo.com

last change: June 15, 2000.

Always enter the atomic data immediately after the symbol # ;
any comments inserted before this symbol will be ignored by the routine.

Name of atom or ion this atomic data set refers to (up to 10 characters):
#
FeII

Number of levels that belong to the ground term:
#
5

Number of levels covered in this atomic data:
#
20

Energy levels and statistical weights:
(one by line, from lowest to highest)
(only the first two numbers are read by the subroutine)

source: 

	C. Corliss and J. Sugar
	J. Phys. Chem. Ref. Data 11, 135 (1982)

E [cm^-1]	g(i)	i	level
#
0.0		10	1	3d6 4s 6D9/2
384.790	8	2	3d6 4s 6D7/2
667.683	6	3	3d6 4s 6D5/2
862.613	4	4	3d6 4s 6D3/2
977.053	2	5	3d6 4s 6D1/2
1872.567	10	6	3d7 4F9/2
2430.097	8	7	3d7 4F7/2
2837.950	6	8	3d7 4F5/2
3117.461	4	9	3d7 4F3/2
7955.299	8	10	3d6 4s 4D7/2
8391.938	6	11	3d6 4s 4D5/2
8680.454	4	12	3d6 4s 4D3/2
8846.768	2	13	3d6 4s 4D1/2
13474.411	6	14	3d7 4P5/2
13673.185	4	15	3d7 4P3/2
13904.824	2	16	3d7 4P1/2
15844.65	10	17	3d7 2G9/2
16369.36	8	18	3d7 2G7/2
18360.646	4	19	3d7 2P3/2
18886.780	2	20	3d7 2P1/2

Transition probabilities:
(one by line)
(there's no need to enter null probabilities)

source:
 
	Quinet, P., le Dourneuf, M. & Zeippen, C.J., 1996: A&AS 120, 361
	(Iron Project calculation)

	transitions involving the a2G or a2P levels not listed in the
	reference above were taken from:
	Garstang, R.H., 1962: MNRAS 124, 321

number of transitions listed
j	i	Aij [s^-1]
#
113
1	2	2.13E-3
2	3	1.57E-3
3	4	7.18E-4
4	5	1.89E-4
1	6	9.15E-5
2	6	8.36E-6
1	7	3.04E-5
2	7	6.39E-5
3	7	1.14E-5
2	8	2.31E-5
3	8	3.69E-5
4	8	8.89E-6
3	9	9.87E-6
4	9	1.51E-5
5	9	3.74E-6
6	7	5.84E-3
7	8	3.92E-3
8	9	1.41E-3
1	10	4.74E-3
2	10	1.31E-3
3	10	8.42E-4
1	11	5.84E-6
2	11	3.78E-4
3	11	1.98E-3
4	11	1.17E-3
2	12	2.62E-6
3	12	4.64E-5
4	12	2.45E-3
5	12	1.08E-3
4	13	6.46E-4
5	13	3.32E-3
6	10	5.98E-3
7	10	1.32E-3
8	10	1.46E-4
6	11	3.12E-3
7	11	2.49E-3
8	11	1.82E-3
9	11	2.98E-4
7	12	4.18E-3
8	12	1.18E-3
9	12	2.12E-3
8	13	4.75E-3
9	13	2.47E-3
10	11	2.56E-3
11	12	1.36E-3
12	13	3.71E-4
2	14	6.64E-3
3	14	1.20E-4
4	14	5.02E-4
5	14	6.69E-6
2	15	9.25E-5
3	15	6.81E-3
4	15	3.76E-4
5	15	9.80E-4
3	16	2.03E-4
4	16	6.23E-3
5	16	1.93E-3
6	14	3.56E-2
7	14	8.83E-3
8	14	1.68E-3
9	14	1.37E-4
7	15	2.21E-2
8	15	1.29E-2
9	15	3.65E-3
8	16	1.61E-2
9	16	2.13E-2
10	14	2.23E-3
11	14	1.06E-3
12	14	3.67E-4
13	14	3.36E-5	
10	15	2.25E-3
11	15	6.28E-5
12	15	6.35E-4
13	15	5.77E-4
11	16	2.76E-3
