obs_wl_vac(A)|Aki(s^-1)|Acc|Ei(cm-1)|Ek(cm-1)|conf_i|term_i|J_i|conf_k|term_k|J_k|Type|
923.878|2.8e+07|D|0.0000|108239.375|3d6.(5D).4s|a 6D|9/2|3d5.(2F1).4s.4p.(3P*)|4D*|7/2||
926.204|2.6e+08|E|0.0000|107966.642|3d6.(5D).4s|a 6D|9/2|3d5.(4F).4s.4p.(3P*)|6D*|9/2||
926.898|3.2e+07|D|0.0000|107886.868|3d6.(5D).4s|a 6D|9/2|3d5.(4F).4s.4p.(3P*)|6D*|7/2||
927.172|7.e+07|E|384.7872|108239.375|3d6.(5D).4s|a 6D|7/2|3d5.(2F1).4s.4p.(3P*)|4D*|7/2||
928.110|1.0e+08|E|384.7872|108130.542|3d6.(5D).4s|a 6D|7/2|3d5.(4F).4s.4p.(3P*)|6D*|5/2||
929.523|3.4e+07|D|384.7872|107966.642|3d6.(5D).4s|a 6D|7/2|3d5.(4F).4s.4p.(3P*)|6D*|9/2||
929.612|2.8e+07|D|667.6829|108239.375|3d6.(5D).4s|a 6D|5/2|3d5.(2F1).4s.4p.(3P*)|4D*|7/2||
930.023|1.3e+08|E|667.6829|108191.894|3d6.(5D).4s|a 6D|5/2|3d5.(4F).4s.4p.(3P*)|6D*|3/2||
930.214|7.e+07|E|384.7872|107886.868|3d6.(5D).4s|a 6D|7/2|3d5.(4F).4s.4p.(3P*)|6D*|7/2||
930.554|5.e+07|D|667.6829|108130.542|3d6.(5D).4s|a 6D|5/2|3d5.(4F).4s.4p.(3P*)|6D*|5/2||
932.244|8.e+07|E|862.6118|108130.542|3d6.(5D).4s|a 6D|3/2|3d5.(4F).4s.4p.(3P*)|6D*|5/2||
932.670|3.8e+07|D|667.6829|107886.868|3d6.(5D).4s|a 6D|5/2|3d5.(4F).4s.4p.(3P*)|6D*|7/2||
932.707|8.e+07|D|977.0498|108191.894|3d6.(5D).4s|a 6D|1/2|3d5.(4F).4s.4p.(3P*)|6D*|3/2||
937.651|4.4e+07|E|0.0000|106649.452|3d6.(5D).4s|a 6D|9/2|3d5.(4F).4s.4p.(3P*)|6F*|11/2||
