Alex Ign�cio da Silva	ignacioalex@yahoo.com

last change: March 19, 2000.

Always enter the atomic data immediately after the symbol # ;
any comments inserted before this symbol will be ignored by the routine.

Name of atom or ion this atomic data set refers to (up to 10 characters):
#
OI

Number of levels that belong to the ground term:
#
3

Number of levels covered in this atomic data:
#
5

Energy levels and statistical weights:
(one by line, from lowest to highest)
(only the first two numbers are read by the subroutine)

source:

	Tables of Spectra of Hydrogen, Carbon, Nitrogen, and Oxygen Atoms and Ions
	C.E. Moore, edited by J.W. Gallagher
	CRC Handbook of Chemistry and Physics, Edition 76 (CRC Press, Boca Raton, FL), 336 pp. (1993) 

E [cm^-1]	g(i)	i	level
#
0.0		5	1	2s2 2p4 3P2
158.265	3	2	2s2 2p4 3P1
226.977	1	3	2s2 2p4 3P0
15867.862	5	4	2s2 2p4 1D2
33792.583	1	5	2s2 2p4 1S0


Transition probabilities:
(one by line)
(there's no need to enter null probabilities)

source:
 
	M.E. Galav�s, C. Mendoza and C.J.Zeippen, 1997: A&AS 123, 159
	(Iron Project calculation)

number of transitions listed
j	i	Aij [s^-1]
#
9
1	2	8.865E-5
1	3	1.275E-10
2	3	1.772E-5
1	4	6.535E-3
2	4	2.111E-3
3	4	6.388E-7
1	5	2.945E-4
2	5	7.909E-2
4	5	1.124E0


Transitions involving the ground term and higher excited levels:
(SORTED BY Ej)
(The inclusion of a level connected to only one of the ground-state levels does not change
 the relative population ratios. That level is ignored by the program, anyway.)

source:

	Allowed transitions listed in Verner et al. 1996: Atomic Data Nucl. Data Tables 64, 1
	(based on Opacity Project calculations)
	
	(wavelength range: 737-1307 �)

number of transitions listed (may be zero)
Ej [cm^-1]	g(j)	i	Aji [s^-1]
#
135
76794.798	3	1	3.30E+08	
76794.798	3	2	1.97E+08	
76794.798	3	3	6.54E+07	
96225.049	3	1	9.31E+07	
96225.049	3	2	5.56E+07	
96225.049	3	3	1.85E+07	
97488.378	3	1	1.99E+06	
97488.378	3	2	2.97E+07	
97488.378	3	3	3.95E+07	
97488.448	5	1	1.79E+07	
97488.448	5	2	5.35E+07	
97488.538	7	1	7.15E+07	
101135.407	7	1	2.19E+08	
101147.526	5	1	5.48E+07	
101147.526	5	2	1.64E+08	
101155.422	3	1	6.09E+06	
101155.422	3	2	9.12E+07	
101155.422	3	3	1.21E+08	
102411.995	3	1	3.81E+07	
102411.995	3	2	2.27E+07	
102411.995	3	3	7.57E+06	
102908.374	7	1	6.56E+07	
102908.443	5	1	1.63E+07	
102908.443	5	2	4.86E+07	
102908.489	3	1	1.81E+06	
102908.489	3	2	2.70E+07	
102908.489	3	3	3.59E+07	
105165.232	3	1	1.93E+07	
105165.232	3	2	1.15E+07	
105165.232	3	3	3.82E+06	
105409.008	7	1	2.77E+07	
105409.008	5	1	6.94E+06	
105409.008	3	1	7.72E+05	
105409.008	5	2	2.07E+07	
105409.008	3	2	1.15E+07	
105409.008	3	3	1.53E+07	
106627.934	3	1	1.10E+07	
106627.934	3	2	6.54E+06	
106627.934	3	3	2.18E+06	
106765.803	7	1	1.64E+07	
106765.803	5	1	4.11E+06	
106765.803	3	1	4.56E+05	
106765.803	5	2	1.23E+07	
106765.803	3	2	6.81E+06	
106765.803	3	3	9.06E+06	
107497.224	3	1	6.83E+06	
107497.224	3	2	4.08E+06	
107497.224	3	3	1.36E+06	
107582.777	7	1	1.05E+07	
107582.777	5	1	2.63E+06	
107582.777	3	1	2.92E+05	
107582.777	5	2	7.85E+06	
107582.777	3	2	4.36E+06	
107582.777	3	3	5.82E+06	
108056.0	3	1	4.54E+06	
108056.0	3	2	2.72E+06	
108056.0	3	3	9.02E+05	
108114.0	7	1	7.18E+06	
108114.0	5	1	1.79E+06	
108114.0	3	1	1.99E+05	
108114.0	5	2	5.36E+06	
108114.0	3	2	2.96E+06	
108114.0	3	3	3.93E+06	
108436.3	3	1	3.16E+06	
