H2j0 L0-0R0     1108.12668 1.662e-03 1.86e+09 
H2j0 L1-0R0     1092.19299 5.794e-03 1.74e+09 
H2j0 L2-0R0     1077.13608 1.169e-02 1.63e+09 
H2j0 L3-0R0     1062.87908 1.789e-02 1.53e+09 
H2j0 L4-0R0     1049.36430 2.318e-02 1.45e+09 
H2j0 L5-0R0     1036.54258 2.682e-02 1.35e+09 
H2j0 L6-0R0     1024.37049 2.869e-02 1.26e+09 
H2j0 L7-0R0     1012.80982 2.971e-02 9.82e+08 
H2j0 W0-0R0     1008.54988 4.396e-02 1.18e+09 
H2j0 L8-0R0     1001.82091 2.677e-02 8.09e+08 
H2j0 L9-0R0     991.37602 2.612e-02 6.59e+08 
H2j0 W1-0R0     985.62981 6.903e-02 1.16e+09 
H2j0 L10-0R0    981.43614 2.071e-02 6.32e+08 
H2j0 L11-0R0    971.98449 2.006e-02 6.07e+08 
H2j0 W2-0R0     964.97936 6.868e-02 1.14e+09 
H2j0 L12-0R0    962.97644 1.318e-02 4.71e+08 
H2j0 L13-0R0    954.41158 1.418e-02 4.61e+08 
H2j0 W3-0R0     946.42192 6.204e-02 9.03e+08 
H2j0 L14-0R0    946.16868 1.341e-03 6.37e+08 
H2j0 L15-0R0    938.46662 9.507e-03 3.82e+08 
H2j0 L16-0R0    931.06142 1.068e-02 3.76e+08 
H2j0 W4-0R0     929.52992 3.420e-02 1.10e+09 
H2j0 L17-0R0    923.98385 6.182e-03 3.16e+08 
H2j0 L18-0R0    917.25111 6.168e-03 3.03e+08 
H2j0 W5-0R0     914.39456 2.426e-02 1.09e+09 
H2j0 L19-0R0    910.82064 3.880e-03 2.74e+08 
H2j0 L20-0R0    904.70064 3.902e-03 2.63e+08 
H2j0 W6-0R0     900.79678 1.646e-02 1.07e+09 
H2j0 L21-0R0    898.85459 2.246e-03 2.54e+08 
H2j0 L22-0R0    893.29741 2.473e-03 2.37e+08 
H2j0 W7-0R0     888.64907 1.147e-02 1.05e+09 
H2j0 L23-0R0    887.98196 7.838e-04 2.46e+08 
H2j0 L24-0R0    882.95465 1.602e-03 2.07e+08 
H2j0 L25-0R0    878.18595 3.285e-03 2.55e+08 
H2j0 W8-0R0     877.82409 4.748e-03 9.61e+08 
H2j0 L26-0R0    873.60736 1.047e-03 1.75e+08 
H2j0 L27-0R0    869.30669 1.292e-03 1.69e+08 
H2j0 W9-0R0     868.40239 3.629e-03 9.89e+08 
H2j0 L28-0R0    865.23004 6.869e-04 1.49e+08 
H2j0 L29-0R0    861.41845 7.876e-04 1.41e+08 
H2j0 W10-0R0    860.30815 2.683e-03 6.55e+08 
H2j0 L30-0R0    857.85512 4.568e-04 1.28e+08 
H2j0 L31-0R0    854.58910 5.190e-04 1.18e+08 
H2j0 W11-0R0    853.60197 1.724e-03 6.20e+08 
H2j0 L32-0R0    851.63642 2.988e-04 1.03e+08 
H2j0 L33-0R0    849.07879 3.275e-04 8.87e+07 
H2j0 W12-0R0    848.40151 1.107e-03 4.09e+08 
H2j0 L34-0R0    847.00900 1.620e-04 6.63e+07 
H2j0 L35-0R0    845.61304 1.135e-04 3.74e+07 
H2j0 L36-0R0    845.03353 1.776e-04 1.51e+07 
